zip_code,label,date,actual_zhvi,pred_zhvi
02116,Back Bay (boston_city),2023-09-30,1302749.4187340378,1321885.3028173298
02116,Back Bay (boston_city),2023-10-31,1297394.65833362,1327883.6000495208
02116,Back Bay (boston_city),2023-11-30,1292844.5375855293,1333561.0607183648
02116,Back Bay (boston_city),2023-12-31,1286580.87345463,1339917.7718863834
02116,Back Bay (boston_city),2024-01-31,1282927.4205237874,1343516.332695915
02116,Back Bay (boston_city),2024-02-29,1281723.2336032186,1350701.3941699292
02116,Back Bay (boston_city),2024-03-31,1288561.5991521582,1359155.9457397247
02116,Back Bay (boston_city),2024-04-30,1298644.2432168724,1367294.4013720108
02116,Back Bay (boston_city),2024-05-31,1306326.1508387337,1373992.5273058754
02116,Back Bay (boston_city),2024-06-30,1306878.159952724,1377930.0927959888
02116,Back Bay (boston_city),2024-07-31,1305369.5274501443,1380906.6409551906
02116,Back Bay (boston_city),2024-08-31,1306951.2337930447,1376842.880323837
02116,Back Bay (boston_city),2024-09-30,1313667.7573870686,1360647.7360771457
02116,Back Bay (boston_city),2024-10-31,1317282.589605218,1348806.8834761493
02116,Back Bay (boston_city),2024-11-30,1319771.952056148,1345073.6069466916
02116,Back Bay (boston_city),2024-12-31,1321552.677243943,1345712.049103187
02150,Chelsea (inner_suburb),2023-01-31,474461.9538009974,474058.24958582333
02150,Chelsea (inner_suburb),2023-02-28,473845.5970615705,474058.242484844
02150,Chelsea (inner_suburb),2023-03-31,473610.9443554021,475159.0801273893
02150,Chelsea (inner_suburb),2023-04-30,474731.4557299029,476234.0103902203
02150,Chelsea (inner_suburb),2023-05-31,477903.3425744856,478676.2698725752
02150,Chelsea (inner_suburb),2023-06-30,482062.2987936852,481491.5280395973
02150,Chelsea (inner_suburb),2023-07-31,485826.4860280023,483913.3150824446
02150,Chelsea (inner_suburb),2023-08-31,488860.1457718748,485305.63718831656
02150,Chelsea (inner_suburb),2023-09-30,491277.2742556365,484492.7974087591
02150,Chelsea (inner_suburb),2023-10-31,493309.448256515,484073.10154102533
02150,Chelsea (inner_suburb),2023-11-30,494752.1528609824,483693.10751294205
02150,Chelsea (inner_suburb),2023-12-31,495729.7253782269,483233.7369956842
02150,Chelsea (inner_suburb),2024-01-31,496761.9745920534,483108.6392180998
02150,Chelsea (inner_suburb),2024-02-29,498552.52565409295,484290.7531201091
02150,Chelsea (inner_suburb),2024-03-31,501457.0705600703,486315.98226859217
02150,Chelsea (inner_suburb),2024-04-30,504391.796358284,489036.07931341376
02150,Chelsea (inner_suburb),2024-05-31,507102.0989424248,492545.7688402756
02150,Chelsea (inner_suburb),2024-06-30,508962.8292138504,495337.6503085296
02150,Chelsea (inner_suburb),2024-07-31,511076.1823366933,497150.357554316
02150,Chelsea (inner_suburb),2024-08-31,513006.7919028595,496764.27190594195
02150,Chelsea (inner_suburb),2024-09-30,514855.1915331704,493472.075297006
02150,Chelsea (inner_suburb),2024-10-31,515962.57890382566,491476.9872794311
02150,Chelsea (inner_suburb),2024-11-30,516459.71713377954,491297.04933141364
02150,Chelsea (inner_suburb),2024-12-31,517246.1597025385,491347.598804132
02139,Cambridge (inner_suburb),2023-01-31,887490.5615948699,888410.1056087937
02139,Cambridge (inner_suburb),2023-02-28,882066.5753264552,886368.8272414303
02139,Cambridge (inner_suburb),2023-03-31,874765.1380663431,886344.2082756382
02139,Cambridge (inner_suburb),2023-04-30,872353.0182705197,889036.4572118857
02139,Cambridge (inner_suburb),2023-05-31,872367.7070637094,894012.720981443
02139,Cambridge (inner_suburb),2023-06-30,874815.2185012805,898419.7303650276
02139,Cambridge (inner_suburb),2023-07-31,877112.5801183867,900088.2105929328
02139,Cambridge (inner_suburb),2023-08-31,880475.9295356848,897790.1410937847
02139,Cambridge (inner_suburb),2023-09-30,884682.0029506421,891540.3976738205
02139,Cambridge (inner_suburb),2023-10-31,887329.2237335388,887346.5153418685
02139,Cambridge (inner_suburb),2023-11-30,890511.5686907301,885928.19867078
02139,Cambridge (inner_suburb),2023-12-31,892016.6710368259,887169.100511768
02139,Cambridge (inner_suburb),2024-01-31,897959.7313401239,886480.7998831392
02139,Cambridge (inner_suburb),2024-02-29,906231.9011350734,886527.7004980667
02139,Cambridge (inner_suburb),2024-03-31,919568.2641730644,888521.6832401947
02139,Cambridge (inner_suburb),2024-04-30,931353.2022040609,893961.6219478975
02139,Cambridge (inner_suburb),2024-05-31,938092.3595438148,900551.7736013004
02139,Cambridge (inner_suburb),2024-06-30,937976.9374490835,904848.2203038423
02139,Cambridge (inner_suburb),2024-07-31,936036.504686326,905175.1128929968
02139,Cambridge (inner_suburb),2024-08-31,937270.0498225412,899869.6906391258
02139,Cambridge (inner_suburb),2024-09-30,941106.3818627604,889386.5310253836
02139,Cambridge (inner_suburb),2024-10-31,945284.8344991872,881610.5917220776
02139,Cambridge (inner_suburb),2024-11-30,949759.4264634022,878385.9980441156
02139,Cambridge (inner_suburb),2024-12-31,956350.067810112,879050.5614258013
01840,Lawrence (outer_suburb),2023-01-31,304153.5652281926,304506.1596610341
01840,Lawrence (outer_suburb),2023-02-28,302906.46119063,305691.88929500134
01840,Lawrence (outer_suburb),2023-03-31,304653.57221037993,307173.3669528486
01840,Lawrence (outer_suburb),2023-04-30,308285.91430409625,308382.44309584505
01840,Lawrence (outer_suburb),2023-05-31,313790.08719221206,309855.8951723215
01840,Lawrence (outer_suburb),2023-06-30,319407.37687306904,310745.38378916733
01840,Lawrence (outer_suburb),2023-07-31,324292.69093141024,311417.1752060213
01840,Lawrence (outer_suburb),2023-08-31,330455.8059826761,311666.8946691245
01840,Lawrence (outer_suburb),2023-09-30,334686.6081380735,311205.42731386685
01840,Lawrence (outer_suburb),2023-10-31,336701.63342356816,311693.2876911969
01840,Lawrence (outer_suburb),2023-11-30,336152.5452533541,311690.7780535176
01840,Lawrence (outer_suburb),2023-12-31,333700.1031254732,311361.6756039588
01840,Lawrence (outer_suburb),2024-01-31,331846.5941396973,311428.1209032241
01840,Lawrence (outer_suburb),2024-02-29,329535.8000119398,313506.8095763926
