true_label,pred_prob,pred_label
0,0.0016311299016762407,0
0,0.017684273135473542,0
0,0.054721047848385336,0
0,0.020140338345512602,0
0,0.008449821476339287,0
0,0.11762943830727114,0
0,0.0016702064428588009,0
0,0.012503998109277539,0
0,0.003507444709772237,0
1,0.9845134139225938,1
0,4.063550405270165e-06,0
0,0.0038679306316997046,0
0,0.1388543302758954,0
0,0.003424323650612451,0
0,0.004240302595511776,0
0,0.6830363955693383,1
1,0.9959440060642529,1
0,0.16590500350941176,0
1,0.8114224668152833,1
0,0.00024393499019770653,0
0,0.00014389721736309536,0
0,0.007707751268646397,0
0,0.9589461690501138,1
1,0.9724333357586847,1
0,0.001172009476631546,0
0,0.1147871844116651,0
0,0.018306767558957958,0
0,0.008866939418926916,0
0,0.03326234112234145,0
0,0.4697802575044907,0
0,3.221314775231348e-07,0
1,0.9827011090727906,1
0,0.2347640404712764,0
0,0.03133024972681812,0
0,7.519467440948419e-07,0
1,0.35852625553073975,0
0,0.00137036757978149,0
0,1.1025750301591285e-05,0
0,0.0022728262655612444,0
0,0.009574592260212355,0
1,0.7834975727068605,1
1,0.5365547322079167,1
0,0.0619676473066432,0
0,0.8607906751262592,1
0,0.0013925011009463361,0
0,0.00666779633738181,0
0,0.007783420767374375,0
1,0.9939478335388927,1
0,0.013847742237461085,0
0,0.0002566582039188248,0
1,0.8280559534341598,1
0,0.005533143388615476,0
0,0.002039560363955569,0
0,0.035290840191384405,0
0,0.02408254364241047,0
1,0.40540132119969313,0
0,0.07099298375634365,0
0,0.027494905804776208,0
1,0.9861088165532729,1
0,0.006633206008415425,0
1,0.9004893108411526,1
0,0.05418913158785678,0
0,0.04353783136024831,0
1,0.9522002516331004,1
0,0.0009537316064939568,0
1,0.9858854633215194,1
1,0.9644699797539655,1
1,0.8793834126224085,1
0,0.9097450179146658,1
0,0.0017397920507246378,0
0,0.28641384670723,0
0,0.01642563611550998,0
0,6.765937019894288e-06,0
0,0.7303774901565839,1
0,0.40878630346741546,0
1,0.9623711466287069,1
0,0.00011267154858585745,0
0,0.0005576523034824832,0
0,0.009077070615432663,0
1,0.8824871954307062,1
0,0.2998758821633547,0
0,0.005426860634879935,0
0,0.13497374944719984,0
0,0.8901545308386186,1
0,0.000727110882786085,0
0,0.012813372453845942,0
0,0.045551728916024055,0
0,1.3449833034761572e-06,0
0,0.002268180674130063,0
1,0.9195658433268892,1
0,0.0012006640692742926,0
0,1.133036006670547e-05,0
0,0.012711465609875936,0
0,0.00022688866200763544,0
0,0.1026844798744836,0
0,4.576979334971766e-05,0
0,0.8960536226522421,1
1,0.876014196962737,1
0,0.0015800316547680713,0
0,0.0014953926890152592,0
0,0.3469607083948228,0
1,0.9575703446667332,1
0,0.7068984357635768,1
0,0.0015548956321693548,0
1,0.9586360930748543,1
1,0.5367688367865835,1
0,0.13319342815199603,0
0,0.3741838856732867,0
0,0.3042259012899262,0
0,0.04164242245481001,0
0,0.030984264209147416,0
0,0.009862267282251367,0
0,0.08677372875264683,0
1,0.9295658338875311,1
0,0.034040799075257644,0
0,0.7996687262355517,1
0,0.006763462117269563,0
0,0.014028831630777401,0
0,0.004051422027909598,0
0,0.3983120367224878,0
0,0.002737778327596357,0
1,0.19442446159923224,0
0,0.005892671368942781,0
0,0.02482457655964332,0
0,0.012280058667338388,0
0,0.04114118013168724,0
0,0.1144859494178047,0
0,0.00043649645234338305,0
0,0.828172556117359,1
0,0.0024939159835596887,0
0,0.0014807098205797482,0
0,0.017449158242094497,0
0,0.9712326918209518,1
0,0.16486031658517564,0
0,0.0010757056847184516,0
0,0.9194907754825487,1
0,0.02267452068140476,0
1,0.9517347592238091,1
0,0.0001406061874665878,0
0,0.00026292552361550025,0
0,0.888141285312285,1
0,0.09798972827006235,0
0,0.30653358299994604,0
0,0.655692805834188,1
1,0.6474661752624356,1
1,0.9917644636584498,1
0,0.641875467528426,1
0,0.1688472214066188,0
0,1.497452923242048e-06,0
0,9.357286572181289e-05,0
0,0.0850043572122443,0
0,0.01015945691225297,0
0,0.4206886380744166,0
0,0.004057808581626436,0
0,0.05275683838840535,0
0,0.005512208510603168,0
0,0.021577833486226838,0
0,0.0020963195023058485,0
0,0.019261374086934072,0
0,0.01753555490734152,0
0,0.555055716120973,1
0,0.005054211640800088,0
0,0.014260031777671876,0
1,0.996263214409741,1
1,0.8528947575592205,1
0,0.0019219062372005332,0
0,0.0013798234411929843,0
1,0.9141314925800123,1
0,0.0016329740973333824,0
1,0.9222095163258117,1
1,0.9695265779315814,1
0,0.00238518577183804,0
0,0.06508613409412663,0
0,0.00022753585887715953,0
0,0.037229258582923794,0
0,0.016067055548152492,0
0,0.08965304552054054,0
0,0.018732923422201234,0
0,0.7538497136339004,1
0,0.0036739133730656344,0
0,0.00035716940202733407,0
0,0.001540710565685189,0
0,0.058337011173214694,0
0,0.19855046407299815,0
0,4.944196475148922e-05,0
0,0.32433209787828476,0
1,0.8099825067215901,1
1,0.9118462187926291,1
1,0.7856349268409514,1
0,0.19159351251230447,0
0,0.37535301271932403,0
0,0.029036425893976016,0
0,0.0027607677613489022,0
0,0.007585559766823988,0
0,0.0009127211658928093,0
0,0.014486760605615984,0
0,0.8918771849122983,1
0,0.04643539565760676,0
0,0.0027624687154183137,0
1,0.6518084978469703,1
0,0.560378152823672,1
0,0.06898541106680212,0
0,7.36251711887845e-05,0
0,0.0004172264147826581,0
0,0.905068471874264,1
0,0.5220127035467096,1
0,0.15201005324663883,0
0,0.00035480387639006246,0
0,0.04012660717493249,0
0,0.9003236563569581,1
0,7.586978719348284e-08,0
0,0.7270710167598301,1
0,3.822666955166245e-05,0
0,0.1517830220523601,0
0,6.308047794358083e-07,0
0,3.1335920854726535e-05,0
0,0.08919441826625854,0
0,0.027066065824266555,0
1,0.9552609502495875,1
1,0.9962008776390358,1
0,0.2710566101867854,0
0,0.0013486778030605904,0
1,0.9491023008712405,1
0,0.0011641801361300357,0
0,0.0017842619561525116,0
1,0.9934234305355066,1
0,0.022224973400393273,0
0,0.015869432898684675,0
1,0.9315481723737736,1
0,0.006451285970130005,0
1,0.9643083029048634,1
0,0.0002332390888091448,0
0,0.027724537211086427,0
1,0.9086290522151428,1
0,0.015504477900124165,0
1,0.7510046998096344,1
0,3.930240452807991e-09,0
0,0.020240899088081552,0
1,0.9703673940213215,1
0,0.024098390567897875,0
0,0.010948283911286352,0
0,0.9693841916788576,1
1,0.8414784428492674,1
1,0.9917151751709391,1
0,0.006158875651164717,0
0,0.03302778221375308,0
